chr start end eigen domain
chr1 700000 799999 -2.1601264946711 open
chr1 800000 899999 -2.21215735158701 open
chr1 900000 999999 -2.23771433385721 open
chr1 1000000 1099999 -2.29311714890712 open
chr1 1100000 1199999 -2.47631573557771 open
chr1 1200000 1299999 -2.51738973235145 open
chr1 1300000 1399999 -2.56672312387677 open
chr1 1400000 1499999 -2.65028242351872 open
chr1 1500000 1599999 -2.59086284261266 open
chr1 1600000 1699999 -2.49153452245314 open
chr1 1700000 1799999 -2.3297153826674 open
chr1 1800000 1899999 -1.99379418709096 open
chr1 1900000 1999999 -1.72981176706981 open
chr1 2000000 2099999 -1.45465985014327 open
chr1 2100000 2199999 -1.29104532621244 open
chr1 2200000 2299999 -1.09176730842835 open
chr1 2300000 2399999 -0.805225318156202 open
chr1 2400000 2499999 -0.334173955967438 open
chr1 2500000 2599999 0.285542374727575 closed
chr1 2700000 2799999 0.710028147741683 closed
chr1 2800000 2899999 1.02200215720653 closed
chr1 2900000 2999999 1.11532811184605 closed
chr1 3000000 3099999 1.07233366470514 closed
chr1 3100000 3199999 0.984045645994425 closed
chr1 3200000 3299999 0.884580334012847 closed
chr1 3300000 3399999 0.699484225106683 closed
chr1 3400000 3499999 0.497206092734692 closed
chr1 3500000 3599999 0.41548219016448 closed
chr1 3600000 3699999 0.368327525609793 closed
chr1 3700000 3799999 0.474813135715431 closed
chr1 3800000 3899999 0.725629334630798 closed
chr1 4000000 4099999 0.966772423446926 closed
chr1 4100000 4199999 1.22000316603642 closed
chr1 4200000 4299999 1.43908587764716 closed
chr1 4300000 4399999 1.48882914684946 closed
chr1 4400000 4499999 1.49274226925486 closed
chr1 4500000 4599999 1.47716955376576 closed
chr1 4600000 4699999 1.40001451233125 closed
chr1 4700000 4799999 1.3960898488428 closed
chr1 4800000 4899999 1.40941099959422 closed
chr1 4900000 4999999 1.44562266761796 closed
chr1 5000000 5099999 1.52737511129126 closed
chr1 5100000 5199999 1.56332888584257 closed
chr1 5200000 5299999 1.56699292373155 closed
chr1 5300000 5399999 1.51974684124293 closed
chr1 5400000 5499999 1.4347373745722 closed
chr1 5500000 5599999 1.38202313508309 closed
chr1 5600000 5699999 1.34978668263492 closed
chr1 5700000 5799999 1.34078883916573 closed
chr1 5800000 5899999 1.26946705933912 closed
chr1 5900000 5999999 1.04578473310861 closed
chr1 6000000 6099999 0.820635153273958 closed
chr1 6100000 6199999 0.460953942231276 closed
chr1 6200000 6299999 0.0737683652695738 closed
chr1 6300000 6399999 -0.277259878226518 open
chr1 6400000 6499999 -0.693207199741635 open
chr1 6500000 6599999 -1.04566022951629 open
chr1 6600000 6699999 -1.11546506278404 open
chr1 6700000 6799999 -1.06143237474199 open
chr1 6800000 6899999 -0.881963507920623 open
chr1 6900000 6999999 -0.555696523774501 open
chr1 7000000 7099999 -0.380570160518134 open
chr1 7100000 7199999 -0.285634123904426 open
chr1 7200000 7299999 -0.262831862431533 open
chr1 7300000 7399999 -0.311365811114494 open
chr1 7400000 7499999 -0.381716227899429 open
chr1 7500000 7599999 -0.369671732077292 open
chr1 7600000 7699999 -0.343088348882665 open
chr1 7700000 7799999 -0.420816310846144 open
chr1 7800000 7899999 -0.52181887249322 open
chr1 7900000 7999999 -0.787717472795436 open
chr1 8000000 8099999 -1.13625892572313 open
chr1 8100000 8199999 -1.3762318336356 open
chr1 8200000 8299999 -1.54387387143396 open
chr1 8300000 8399999 -1.6066063074945 open
chr1 8400000 8499999 -1.61390493809917 open
chr1 8500000 8599999 -1.5945275457133 open
chr1 8600000 8699999 -1.62314115901775 open
chr1 8700000 8799999 -1.64341142087968 open
chr1 8800000 8899999 -1.67550427699896 open
chr1 8900000 8999999 -1.72422546257637 open
chr1 9000000 9099999 -1.78585926219712 open
