chr start end eigen domain
chr1 0 99999 -1.6506682941765 open
chr1 100000 199999 -1.17910257043557 open
chr1 200000 299999 -1.14333233744904 open
chr1 300000 399999 -1.06275020900388 open
chr1 400000 499999 -1.16938843541035 open
chr1 500000 599999 -1.22027901917542 open
chr1 600000 699999 -1.19929154924388 open
chr1 700000 799999 -1.16672175038108 open
chr1 800000 899999 -1.13887941944387 open
chr1 900000 999999 -1.06605429991679 open
chr1 1000000 1099999 -1.13708856479472 open
chr1 1100000 1199999 -1.15508406560606 open
chr1 1200000 1299999 -1.18008904359675 open
chr1 1300000 1399999 -1.28844855894473 open
chr1 1400000 1499999 -1.33247733677516 open
chr1 1500000 1599999 -1.2433627243123 open
chr1 1600000 1699999 -1.1083206093331 open
chr1 1700000 1799999 -0.808723974681412 open
chr1 1800000 1899999 -0.499601849483823 open
chr1 1900000 1999999 -0.427896153000436 open
chr1 2000000 2099999 -0.415410325583285 open
chr1 2100000 2199999 -0.633149036537091 open
chr1 2200000 2299999 -0.780706615995056 open
chr1 2300000 2399999 -0.740367160371198 open
chr1 2400000 2499999 -0.760220811646275 open
chr1 2500000 2599999 -0.588608308425493 open
chr1 2600000 2699999 -0.429497554270317 open
chr1 2700000 2799999 -0.299976230581489 open
chr1 2800000 2899999 0.0443720472903368 closed
chr1 2900000 2999999 0.299887455063485 closed
chr1 3000000 3099999 0.355857300547953 closed
chr1 3100000 3199999 0.337198567144095 closed
chr1 3200000 3299999 0.0958397140767083 closed
chr1 3300000 3399999 -0.18297089843559 open
chr1 3400000 3499999 -0.195366103253341 open
chr1 3500000 3599999 -0.159345531043974 open
chr1 3600000 3699999 -0.112645699101958 open
chr1 3700000 3799999 -0.139196272174474 open
chr1 3800000 3899999 -0.285355837250254 open
chr1 3900000 3999999 -0.429329066823978 open
chr1 4000000 4099999 -0.35670608312498 open
chr1 4100000 4199999 -0.0265291131933958 open
chr1 4200000 4299999 0.30345721944311 closed
chr1 4300000 4399999 0.613050258690373 closed
chr1 4400000 4499999 0.7777772577519 closed
chr1 4500000 4599999 0.78896939516629 closed
chr1 4600000 4699999 0.79044025279359 closed
chr1 4700000 4799999 0.790007084786756 closed
chr1 4800000 4899999 0.784338045551367 closed
chr1 4900000 4999999 0.790463590622589 closed
chr1 5000000 5099999 0.796860979467468 closed
chr1 5100000 5199999 0.802047876347002 closed
chr1 5200000 5299999 0.807549843453744 closed
chr1 5300000 5399999 0.800238583033282 closed
chr1 5400000 5499999 0.793576813310138 closed
chr1 5500000 5599999 0.789672972440763 closed
chr1 5600000 5699999 0.783448824467481 closed
chr1 5700000 5799999 0.753155686183785 closed
chr1 5800000 5899999 0.583854736936954 closed
chr1 5900000 5999999 0.391698588725923 closed
chr1 6000000 6099999 0.0811239987636884 closed
chr1 6100000 6199999 -0.242886741636959 open
chr1 6200000 6299999 -0.317666652228463 open
chr1 6300000 6399999 -0.429088702757926 open
chr1 6400000 6499999 -0.4382404429667 open
chr1 6500000 6599999 -0.337970749119547 open
chr1 6600000 6699999 -0.474635713096492 open
chr1 6700000 6799999 -0.484035638039691 open
chr1 6800000 6899999 -0.35183078299322 open
chr1 6900000 6999999 -0.382539122984193 open
chr1 7000000 7099999 -0.280465812655819 open
chr1 7100000 7199999 -0.379426379881176 open
chr1 7200000 7299999 -0.729349938850676 open
chr1 7300000 7399999 -1.03162334026237 open
chr1 7400000 7499999 -1.32511175222139 open
chr1 7500000 7599999 -1.37695908928652 open
chr1 7600000 7699999 -1.28533918809984 open
chr1 7700000 7799999 -1.00660316175188 open
chr1 7800000 7899999 -0.763990297927265 open
chr1 7900000 7999999 -0.738374331456252 open
chr1 8000000 8099999 -0.744789280652236 open
chr1 8100000 8199999 -0.897107107306051 open
chr1 8200000 8299999 -1.02645101485674 open
chr1 8300000 8399999 -1.01082246827218 open
chr1 8400000 8499999 -0.9705987186584 open
chr1 8500000 8599999 -1.05476825038632 open
chr1 8600000 8699999 -1.10481171340483 open
chr1 8700000 8799999 -1.2379921086116 open
chr1 8800000 8899999 -1.36748737484478 open
chr1 8900000 8999999 -1.3250161795674 open
chr1 9000000 9099999 -1.3574840284994 open
chr1 9100000 9199999 -1.34505262235386 open
chr1 9200000 9299999 -1.36954213103607 open
chr1 9300000 9399999 -1.45066331686468 open
chr1 9400000 9499999 -1.37742348245022 open
chr1 9500000 9599999 -1.29331589219769 open
chr1 9600000 9699999 -1.16471132760905 open
chr1 9700000 9799999 -1.03975482558663 open
chr1 9800000 9899999 -1.11156946412819 open
chr1 9900000 9999999 -1.19207435890909 open
chr1 10000000 10099999 -1.25111993055752 open
chr1 10100000 10199999 -1.14386452563673 open
chr1 10200000 10299999 -0.985670308601041 open
chr1 10300000 10399999 -0.839153490207607 open
chr1 10400000 10499999 -0.648424001603386 open
chr1 10500000 10599999 -0.618161352937734 open
chr1 10600000 10699999 -0.429709720269224 open
chr1 10700000 10799999 -0.0891307003192109 open
chr1 10800000 10899999 0.151269057476688 closed
chr1 10900000 10999999 0.404209859061752 closed
chr1 11000000 11099999 0.532593377185221 closed
chr1 11100000 11199999 0.37774492451733 closed
chr1 11200000 11299999 0.257594916334151 closed
chr1 11300000 11399999 0.149803962532335 closed
