chr start end eigen domain
chr1 0 99999 -0.92505230359067 open
chr1 100000 199999 -0.632582857525661 open
chr1 200000 299999 -0.532894003543602 open
chr1 500000 599999 -0.408323407212517 open
chr1 600000 699999 -0.437633284201255 open
chr1 700000 799999 -0.61832054453547 open
chr1 800000 899999 -0.910698105240638 open
chr1 900000 999999 -1.1685300982039 open
chr1 1000000 1099999 -1.35814586747143 open
chr1 1100000 1199999 -1.4424301700359 open
chr1 1200000 1299999 -1.46080205073021 open
chr1 1300000 1399999 -1.46579155889331 open
chr1 1400000 1499999 -1.48645036898059 open
chr1 1500000 1599999 -1.52653940800429 open
chr1 1600000 1699999 -1.56590359755156 open
chr1 1700000 1799999 -1.60981199253275 open
chr1 1800000 1899999 -1.63976143085778 open
chr1 1900000 1999999 -1.63253842705437 open
chr1 2000000 2099999 -1.61349355497543 open
chr1 2100000 2199999 -1.59961836427618 open
chr1 2200000 2299999 -1.57231504076931 open
chr1 2300000 2399999 -1.57510376337926 open
chr1 2400000 2499999 -1.58788806367722 open
chr1 2500000 2599999 -1.58820384067801 open
chr1 2600000 2699999 -1.6115963479759 open
chr1 2700000 2799999 -1.62216779757403 open
chr1 2800000 2899999 -1.63174747340034 open
chr1 2900000 2999999 -1.64127273252459 open
chr1 3000000 3099999 -1.64286647505523 open
chr1 3100000 3199999 -1.63804981515553 open
chr1 3200000 3299999 -1.63106817828227 open
chr1 3300000 3399999 -1.6239094739523 open
chr1 3400000 3499999 -1.60763407482247 open
chr1 3500000 3599999 -1.61387108161347 open
chr1 3600000 3699999 -1.63035334306699 open
chr1 3700000 3799999 -1.60871159075257 open
chr1 3800000 3899999 -1.60132221428978 open
chr1 3900000 3999999 -1.57281181413117 open
chr1 4000000 4099999 -1.48374705923972 open
chr1 4100000 4199999 -1.41586283624854 open
chr1 4200000 4299999 -1.28000973390901 open
chr1 4300000 4399999 -1.10818477446555 open
chr1 4400000 4499999 -1.00366072623211 open
chr1 4500000 4599999 -0.985616309938476 open
chr1 4600000 4699999 -1.03462271831329 open
chr1 4700000 4799999 -1.04916719205663 open
