chr start end eigen domain
chr1 0 99999 0.682916819433562 closed
chr1 500000 599999 0.44231873934435 closed
chr1 600000 699999 0.360384155469632 closed
chr1 700000 799999 0.248667396650519 closed
chr1 800000 899999 0.0917059626229579 closed
chr1 900000 999999 -0.0809486271679318 open
chr1 1000000 1099999 -0.290386128521716 open
chr1 1100000 1199999 -0.5262989017663 open
chr1 1200000 1299999 -0.699983062539484 open
chr1 1300000 1399999 -0.820059036096153 open
chr1 1400000 1499999 -0.850497190239856 open
chr1 1500000 1599999 -0.915075601701131 open
chr1 1600000 1699999 -0.856399998148102 open
chr1 1700000 1799999 -0.725739287835903 open
chr1 1800000 1899999 -0.541739052589401 open
chr1 1900000 1999999 -0.308464993281187 open
chr1 2000000 2099999 -0.172584100662171 open
chr1 2100000 2199999 -0.173253213651316 open
chr1 2200000 2299999 -0.293917406505409 open
chr1 2300000 2399999 -0.417331975509671 open
chr1 2400000 2499999 -0.374213457888446 open
chr1 2500000 2599999 -0.146164224940223 open
chr1 2600000 2699999 0.231406059473965 closed
chr1 2700000 2799999 0.679647568568254 closed
chr1 2800000 2899999 0.905319005180623 closed
chr1 2900000 2999999 0.938717081676844 closed
chr1 3000000 3099999 0.767097458650429 closed
chr1 3100000 3199999 0.447316782869781 closed
chr1 3200000 3299999 0.192583433623486 closed
chr1 3300000 3399999 -0.0178341851359524 open
chr1 3400000 3499999 -0.12601011618822 open
chr1 3500000 3599999 -0.242930423196527 open
chr1 3600000 3699999 -0.256020224534253 open
chr1 3700000 3799999 -0.129894039488356 open
chr1 3800000 3899999 0.125305786762863 closed
chr1 4000000 4099999 0.589967655981493 closed
chr1 4100000 4199999 1.01202810731301 closed
chr1 4200000 4299999 1.34254901242967 closed
chr1 4300000 4399999 1.57852626158059 closed
chr1 4400000 4499999 1.72348606608304 closed
chr1 4500000 4599999 1.77483119898524 closed
chr1 4600000 4699999 1.79021653539847 closed
chr1 4700000 4799999 1.75780469395335 closed
chr1 4800000 4899999 1.64169727874715 closed
chr1 4900000 4999999 1.64522719628119 closed
chr1 5000000 5099999 1.63347652658249 closed
chr1 5100000 5199999 1.63494406748151 closed
chr1 5200000 5299999 1.64448963348357 closed
chr1 5300000 5399999 1.56823185746117 closed
chr1 5400000 5499999 1.57176097801998 closed
chr1 5500000 5599999 1.55227905810942 closed
chr1 5600000 5699999 1.56944762557476 closed
chr1 5700000 5799999 1.45307862727059 closed
chr1 5800000 5899999 1.11201250160933 closed
chr1 5900000 5999999 0.715429197545682 closed
chr1 6000000 6099999 0.220043464200041 closed
chr1 6100000 6199999 -0.136919006191161 open
chr1 6200000 6299999 -0.342228601172134 open
chr1 6300000 6399999 -0.533495303707917 open
chr1 6400000 6499999 -0.68094757286335 open
chr1 6500000 6599999 -0.76821349040293 open
chr1 6600000 6699999 -0.786807073815702 open
chr1 6700000 6799999 -0.735330883173668 open
chr1 6800000 6899999 -0.553973325798511 open
chr1 6900000 6999999 -0.398512376211336 open
chr1 7000000 7099999 -0.299494198030532 open
chr1 7100000 7199999 -0.227281998049934 open
chr1 7200000 7299999 -0.264730531583663 open
chr1 7300000 7399999 -0.360189196750385 open
chr1 7400000 7499999 -0.438831206380842 open
chr1 7500000 7599999 -0.407137062002151 open
chr1 7600000 7699999 -0.343942275260283 open
chr1 7700000 7799999 -0.255250911994802 open
chr1 7800000 7899999 -0.204016538754761 open
chr1 7900000 7999999 -0.3152084696262 open
chr1 8000000 8099999 -0.49397594166451 open
chr1 8100000 8199999 -0.660710162442964 open
chr1 8200000 8299999 -0.798344306008188 open
chr1 8300000 8399999 -0.856551924233097 open
chr1 8400000 8499999 -0.83189687685771 open
chr1 8500000 8599999 -0.801496173504727 open
chr1 8600000 8699999 -0.783254114567165 open
chr1 8700000 8799999 -0.774950754500042 open
chr1 8800000 8899999 -0.730455922763691 open
chr1 8900000 8999999 -0.686176986235673 open
chr1 9000000 9099999 -0.616373636834744 open
chr1 9100000 9199999 -0.552793950457556 open
chr1 9200000 9299999 -0.62127743322107 open
chr1 9300000 9399999 -0.700853062649891 open
chr1 9400000 9499999 -0.787732833841116 open
chr1 9500000 9599999 -0.84091278429379 open
chr1 9600000 9699999 -0.836366151855331 open
chr1 9700000 9799999 -0.828080400100329 open
chr1 9800000 9899999 -0.80307161431108 open
