chr start end eigen domain
chr1 0 99999 -0.575588829392213 open
chr1 500000 599999 -0.451939904551349 open
chr1 600000 699999 -0.378727850504672 open
chr1 700000 799999 -0.211849141582389 open
chr1 800000 899999 -0.180545298210392 open
chr1 900000 999999 -0.144109006518083 open
chr1 1000000 1099999 -0.244323822815467 open
chr1 1100000 1199999 -0.392841059560895 open
chr1 1200000 1299999 -0.541972211044043 open
chr1 1300000 1399999 -0.624594903338755 open
chr1 1400000 1499999 -0.702113331598763 open
chr1 1500000 1599999 -0.86432000248133 open
chr1 1600000 1699999 -0.890008799062376 open
chr1 1700000 1799999 -0.871916317631683 open
chr1 1800000 1899999 -0.659027485475595 open
chr1 1900000 1999999 -0.29890683872897 open
chr1 2000000 2099999 0.0193756035661345 closed
chr1 2100000 2199999 0.230115734429309 closed
chr1 2200000 2299999 0.189160554811175 closed
chr1 2300000 2399999 0.0221526176116806 closed
chr1 2400000 2499999 -0.0999583809583753 open
chr1 2500000 2599999 -0.12396244167203 open
chr1 2600000 2699999 0.0918885488188305 closed
chr1 2700000 2799999 0.519311969352528 closed
chr1 2800000 2899999 0.879857573151087 closed
chr1 2900000 2999999 1.17588535025877 closed
chr1 3000000 3099999 1.33971644337252 closed
chr1 3100000 3199999 1.32395171331611 closed
chr1 3200000 3299999 1.30629124521146 closed
chr1 3300000 3399999 1.13910769244982 closed
chr1 3400000 3499999 0.849724408790834 closed
chr1 3500000 3599999 0.439416164770637 closed
chr1 3600000 3699999 0.00913355407232434 closed
chr1 3700000 3799999 -0.17411236792563 open
chr1 3800000 3899999 -0.0948207033372789 open
chr1 4000000 4099999 0.260297968763121 closed
chr1 4100000 4199999 0.583675368649189 closed
chr1 4200000 4299999 0.809521265773373 closed
chr1 4300000 4399999 0.924444696348338 closed
chr1 4400000 4499999 0.880173747248169 closed
chr1 4500000 4599999 0.963234912748837 closed
chr1 4600000 4699999 1.0628688863977 closed
chr1 4700000 4799999 1.14298875302992 closed
chr1 4800000 4899999 1.24963166420717 closed
chr1 4900000 4999999 1.31036182838635 closed
