chr start end eigen domain
chr1 700000 799999 -1.62475825405065 open
chr1 800000 899999 -1.64960578903381 open
chr1 900000 999999 -1.60061548442748 open
chr1 1000000 1099999 -1.57911133519482 open
chr1 1100000 1199999 -1.51212586288099 open
chr1 1200000 1299999 -1.53043511067738 open
chr1 1300000 1399999 -1.5585087375421 open
chr1 1400000 1499999 -1.59063275444968 open
chr1 1500000 1599999 -1.68528276820891 open
chr1 1600000 1699999 -1.74100717679215 open
chr1 1700000 1799999 -1.68915287594969 open
chr1 1800000 1899999 -1.48094318602211 open
chr1 1900000 1999999 -1.23546907487117 open
chr1 2000000 2099999 -1.02826507945783 open
chr1 2100000 2199999 -0.941361473722446 open
chr1 2200000 2299999 -0.93989471344309 open
chr1 2300000 2399999 -1.01392953192467 open
chr1 2400000 2499999 -0.937948201873429 open
chr1 2500000 2599999 -0.681557125576971 open
chr1 2600000 2699999 -0.452235424864673 open
chr1 2700000 2799999 -0.138153776696628 open
chr1 2800000 2899999 0.100695614201432 closed
chr1 2900000 2999999 0.132183390698402 closed
chr1 3000000 3099999 0.131963872292304 closed
chr1 3100000 3199999 0.0919915868001882 closed
chr1 3200000 3299999 0.00224432044820126 closed
chr1 3300000 3399999 -0.146792250398923 open
chr1 3400000 3499999 -0.47691591857807 open
chr1 3500000 3599999 -0.748030800009937 open
chr1 3600000 3699999 -0.900634338012191 open
chr1 3700000 3799999 -0.895758432488856 open
chr1 3800000 3899999 -0.547135256629646 open
chr1 4000000 4099999 -0.16939951667189 open
chr1 4100000 4199999 0.159005086356641 closed
chr1 4200000 4299999 0.397671811945397 closed
chr1 4300000 4399999 0.501393518542941 closed
chr1 4400000 4499999 0.52966076370082 closed
chr1 4500000 4599999 0.544042250485519 closed
chr1 4600000 4699999 0.529304392711501 closed
chr1 4700000 4799999 0.4869785090231 closed
chr1 4800000 4899999 0.500664575119751 closed
chr1 4900000 4999999 0.562737255839261 closed
chr1 5000000 5099999 0.643795738219236 closed
chr1 5100000 5199999 0.731053263838321 closed
chr1 5200000 5299999 0.753628476854469 closed
chr1 5300000 5399999 0.716774340242569 closed
chr1 5400000 5499999 0.641162201053844 closed
chr1 5500000 5599999 0.567798062067016 closed
chr1 5600000 5699999 0.485027655430702 closed
chr1 5700000 5799999 0.420424042022952 closed
